"fire","point","int.1","int.2","int.3","int.4","int.5","fa","lat","snag.ct","cc","elev.res"
"Bucks","RM07",0,0,0,0,0,10,39.9237742795918,6,4.39732157522317,-642.250085289629
"Devil's Gap","RM08",0,NA,0,0,0,10,39.7150711529576,6,65.0584201405385,-282.674388845316
"Bucks","RM08",0,NA,0,0,0,10,39.922186492234,1,10.6668540036684,-683.014100866075
"Devil's Gap","HP02",0,NA,0,0,0,10,39.7066562793480,4,76.2312361438163,-86.7234792225478
"Bucks","HP03",0,0,0,0,0,10,39.9294952430045,0,0.65837094220511,-359.497257501881
"Bucks","HP02",0,NA,0,0,0,10,39.9297705399711,2,20.5099323968411,-319.364789404313
"Devil's Gap","HP09",0,0,0,0,0,10,39.6922567922804,8,85.7386355459905,-393.652261189755
"Lookout","HP05",0,0,0,0,0,10,39.8585432883006,0,0,-673.638100295974
"Lookout","HP08",0,NA,0,0,0,10,39.8579673071261,1,1.29878609499238,-833.915252388725
"Devil's Gap","RM07",0,0,0,0,0,10,39.7136835742661,10,39.1792871655008,-383.342067504327
"Bucks","RM02",0,NA,0,0,0,10,39.925435327828,2,39.2534236928583,-761.450817856586
"Bucks","RM04",0,NA,0,0,0,10,39.9240644453233,2,31.5169588362049,-642.110462601785
"Bucks","RM01",0,0,0,0,0,10,39.9277906169042,1,28.3882226147575,-680.317493842883
"Bucks","HP09",0,0,0,0,0,10,39.9434916711643,0,38.8599879369697,-312.762420449445
"Horton2","RM10",0,NA,0,0,0,10,39.8862385854212,7,99.995832867865,1339.68839351348
"McNally","RM11",0,0,0,0,0,7,35.9500100593774,1,56.8358092157787,-1314.35610279549
"Gondola","DM04",0,0,0,0,1,7,38.95263694098,12,96.2562065626353,1530.45556958084
"Gondola","DM01",0,0,0,0,0,7,38.9566227178557,4,76.4248868765088,1852.37345587860
"Gondola","DM02",0,0,0,0,0,7,38.9553180282629,28,89.7476976967552,2051.74566200782
"Gondola","DM03",0,0,0,0,0,7,38.9539330526165,25,79.446818788869,1571.07923588870
"Gondola","BW01",0,NA,1,NA,NA,7,38.9563602631192,15,92.7968180701177,2052.24716723811
"Gondola","DM05",0,0,0,0,0,7,38.9523499655184,11,86.730873820157,1270.31748199522
"Gondola","DM06",0,0,0,0,0,7,38.9525022497228,2,70.101240908243,850.390758497665
"Gondola","BW04",1,NA,0,0,0,7,38.9523950675215,12,53.5888959731127,1450.33918429227
"Gondola","BW05",0,NA,0,0,0,7,38.9513229603225,1,55.1619818277256,1149.82330501182
"Gondola","BW02",0,NA,0,1,NA,7,38.9558678359032,10,52.4391711046453,1852.01021985253
"Mud","RS01",0,0,0,0,0,6,38.4346413085540,0,0,701.205108075084
"Gondola","BW03",0,NA,0,1,NA,7,38.9533287351941,10,63.06967220277,1550.78844888780
