"fire","point","int.1","int.2","int.3","int.4","int.5","fa","lat","snag.ct","cc","elev.res"
"Crag 04","RG06",0,0,0,0,0,5,36.1628789909519,4,47.7296877673725,1068.07271342192
"Angora","DM08",1,NA,0,0,1,2,38.8779399450727,44,100,294.512678294690
"Angora","DM06",0,0,0,0,0,2,38.88223051571,23,99.5178294490067,291.577226033176
"Manter","RM06",0,NA,0,0,0,9,36.0257124881479,1,98.8571511489747,2.07058524391532
"Crag 04","RM08",0,NA,0,0,0,5,36.1583798764470,10,81.0264169611326,905.907818012548
"Hiram","RS01",0,0,0,0,0,10,38.4404711331852,16,0,704.010317982006
"Angora","BW05",0,NA,1,NA,NA,2,38.9013370100741,3,99.9229260315147,705.77093779423
"Angora","BW03",0,NA,1,NA,NA,2,38.8967746183794,17,98.1659232288248,383.575594505045
"Dexter","RS06",1,NA,1,NA,NA,6,37.8376646218448,1,68.776626070444,1413.95034113127
"Gondola","BW06",0,NA,0,1,NA,7,38.9499739011819,6,90.805448800929,809.174161288698
"Hiram","RS04",0,NA,0,0,0,10,38.4426449035447,0,0,805.056298355965
"Crag 04","RM05",0,0,0,0,0,5,36.1536793286849,1,58.098266935428,903.645996433965
"Dexter","RS08",0,NA,1,NA,NA,6,37.8413188832738,1,39.5881800916604,1495.70870797960
"Dexter","RS02",0,NA,0,0,0,6,37.8323017214355,2,40.6427263826648,1411.36980701408
"Crater","RS04",0,NA,0,0,0,8,37.8930232620839,7,62.8989064815674,440.587953041822
"Crater","RS01",0,0,0,0,0,8,37.8966404201555,0,16.24736333926,442.328466401873
"Crater","RS08",1,NA,1,NA,NA,8,37.888352379009,4,54.005749549339,438.340405593196
"Angora","BW01",1,NA,0,0,0,2,38.8924568781558,5,52.6668605194935,321.497973235624
"Dexter","RS03",0,0,0,0,1,6,37.8348727047732,0,10.9170199209261,1412.60691934347
"Crater","DM06",0,0,0,0,0,8,37.8984152126871,9,92.9415017372935,483.182465605507
"Crater","RS07",1,NA,1,NA,NA,8,37.8894357891525,5,53.0007100354258,438.861723653356
